cell_id,year,region_group,eligible_primary,event_primary,annual_area_m2_primary,eligible_variant,event_variant,annual_area_m2_variant,variant
westcoast_0227,2009,Southern California,True,0,1138462.0,True,1,805779.25,fixedpre_protocol_mean
westcoast_0227,2010,Southern California,True,0,918140.0,True,1,394149.0,fixedpre_protocol_mean
westcoast_0227,2014,Southern California,True,0,750474.0,True,1,421728.75,fixedpre_protocol_mean
westcoast_0228,2019,Southern California,True,1,117034.0,True,0,50110.25,fixedpre_protocol_mean
westcoast_0233,2007,Baja California Norte,True,0,44560.0,True,1,22484.0,fixedpre_protocol_mean
westcoast_0235,2018,Baja California Norte,True,1,25483.0,True,0,8265.5,fixedpre_protocol_mean
westcoast_0235,2019,Baja California Norte,True,1,16895.0,True,0,6213.5,fixedpre_protocol_mean
westcoast_0237,2007,Baja California Norte,True,1,633045.0,True,0,300107.75,fixedpre_protocol_mean
westcoast_0237,2011,Baja California Norte,True,1,105443.0,True,0,38808.0,fixedpre_protocol_mean
westcoast_0238,2007,Baja California Norte,True,1,155689.0,True,0,59111.5,fixedpre_protocol_mean
westcoast_0239,2010,Baja California Norte,True,1,329857.0,True,0,124798.25,fixedpre_protocol_mean
westcoast_0244,2011,Baja California Norte,True,1,44973.0,True,0,26748.75,fixedpre_protocol_mean
westcoast_0248,2009,Baja California Norte,True,0,136439.0,True,1,75564.5,fixedpre_protocol_mean
westcoast_0248,2016,Baja California Norte,True,1,22587.0,True,0,9146.75,fixedpre_protocol_mean
westcoast_0250,2020,Baja California Norte,True,0,711867.0,True,1,419230.75,fixedpre_protocol_mean
westcoast_0252,2009,Baja California Norte,True,0,2603562.0,True,1,1121363.0,fixedpre_protocol_mean
westcoast_0252,2011,Baja California Norte,True,0,1304978.0,True,1,723572.25,fixedpre_protocol_mean
westcoast_0252,2013,Baja California Norte,True,0,1199230.0,True,1,667949.75,fixedpre_protocol_mean
westcoast_0252,2019,Baja California Norte,True,0,1004366.0,True,1,502476.25,fixedpre_protocol_mean
westcoast_0252,2020,Baja California Norte,True,1,789460.0,True,0,348258.5,fixedpre_protocol_mean
westcoast_0255,2008,Baja California Norte,True,0,82327.0,True,1,57405.0,fixedpre_protocol_mean
westcoast_0255,2018,Baja California Norte,True,1,35873.0,True,0,10422.25,fixedpre_protocol_mean
westcoast_0256,2017,Baja California Norte,True,0,107094.0,True,1,54249.75,fixedpre_protocol_mean
westcoast_0257,2017,Baja California Norte,True,0,154644.0,True,1,88568.75,fixedpre_protocol_mean
westcoast_0263,2013,Baja California Norte,True,0,905092.0,True,1,437089.0,fixedpre_protocol_mean
westcoast_0273,2010,Baja California Norte,True,1,186066.0,True,0,70593.25,fixedpre_protocol_mean
westcoast_0274,2005,Baja California Norte,True,0,111367.0,True,1,40974.333333333336,fixedpre_protocol_mean
westcoast_0274,2013,Baja California Norte,True,0,51147.0,True,1,34028.25,fixedpre_protocol_mean
westcoast_0274,2018,Baja California Norte,True,1,251197.0,True,0,137027.25,fixedpre_protocol_mean
westcoast_0275,2012,Baja California Norte,True,1,42674.0,True,0,12497.0,fixedpre_protocol_mean
westcoast_0276,2005,Baja California Norte,True,1,14976.0,True,0,4873.25,fixedpre_protocol_mean
westcoast_0276,2022,Baja California Norte,True,0,14617.0,True,1,6779.5,fixedpre_protocol_mean
westcoast_0279,2007,Baja California Norte,True,0,1012442.0,True,1,550011.25,fixedpre_protocol_mean
westcoast_0279,2010,Baja California Norte,True,1,590247.0,True,0,279086.0,fixedpre_protocol_mean
westcoast_0280,2007,Baja California Norte,True,1,713870.0,True,0,255742.25,fixedpre_protocol_mean
westcoast_0280,2008,Baja California Norte,True,0,415887.0,True,1,190565.25,fixedpre_protocol_mean
