C,l1_ratio,inner_macro_ap_lift,inner_rows,domain,year,model_family,feature_set
0.05,,0.17968343620864302,1000,full_oisst_domain,2011,hierarchical_additive,trajectory_plus_oisst
0.05,0.0,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
0.05,0.5,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
0.05,1.0,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
0.2,0.0,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
0.2,0.5,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
0.2,1.0,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
1.0,0.0,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
1.0,0.5,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
1.0,1.0,0.1684666624867499,949,full_oisst_domain,2012,elastic_net,current_only
0.05,1.0,0.1620554943990223,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
0.05,0.5,0.15914341293591944,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
0.05,0.0,0.1569109585730519,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
0.2,1.0,0.15627999059113276,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
0.2,0.0,0.15611714768372026,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
0.2,0.5,0.1559401658182367,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
1.0,1.0,0.1559052161648579,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
1.0,0.5,0.15584930372438463,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
1.0,0.0,0.155583389216338,949,full_oisst_domain,2012,elastic_net,current_plus_trajectory
0.05,1.0,0.1442748101265044,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
0.05,0.5,0.14313483699710586,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
0.05,0.0,0.1424426758191059,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
0.2,1.0,0.14103955479156025,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
0.2,0.5,0.13983182594425783,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
0.2,0.0,0.13956619426643455,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
1.0,1.0,0.1394737667716682,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
1.0,0.0,0.13925583953475654,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
1.0,0.5,0.1391988638053044,949,full_oisst_domain,2012,elastic_net,trajectory_plus_oisst
0.2,,0.18864450775808694,949,full_oisst_domain,2012,hierarchical_additive,current_only
1.0,,0.1882020457107755,949,full_oisst_domain,2012,hierarchical_additive,current_only
0.05,,0.18277901507782604,949,full_oisst_domain,2012,hierarchical_additive,current_only
0.2,,0.17708948673577884,949,full_oisst_domain,2012,hierarchical_additive,current_plus_trajectory
1.0,,0.17548252752230079,949,full_oisst_domain,2012,hierarchical_additive,current_plus_trajectory
0.05,,0.17159753018865698,949,full_oisst_domain,2012,hierarchical_additive,current_plus_trajectory
0.2,,0.19098733204746857,949,full_oisst_domain,2012,hierarchical_additive,trajectory_plus_oisst
1.0,,0.18973026666829776,949,full_oisst_domain,2012,hierarchical_additive,trajectory_plus_oisst
0.05,,0.18301002850022177,949,full_oisst_domain,2012,hierarchical_additive,trajectory_plus_oisst
0.05,0.0,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
0.05,0.5,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
0.05,1.0,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
0.2,0.0,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
0.2,0.5,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
0.2,1.0,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
1.0,0.0,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
1.0,0.5,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
1.0,1.0,0.23724631127542475,898,full_oisst_domain,2013,elastic_net,current_only
0.05,1.0,0.2455446313638344,898,full_oisst_domain,2013,elastic_net,current_plus_trajectory
0.05,0.5,0.24371675691114505,898,full_oisst_domain,2013,elastic_net,current_plus_trajectory
0.05,0.0,0.23949572356000695,898,full_oisst_domain,2013,elastic_net,current_plus_trajectory
