domain,model_family,feature_set,year,n,events,prevalence,ap,ap_lift
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2006,191,39,0.20418848167539266,0.5736964861233604,0.3695080044479678
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2007,217,71,0.3271889400921659,0.5762362204783622,0.24904728038619628
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2008,216,61,0.2824074074074074,0.5650570708551217,0.2826496634477143
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2009,228,99,0.4342105263157895,0.5597095199718869,0.1254989936560974
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2010,225,136,0.6044444444444445,0.7595032633511044,0.15505881890665996
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2011,186,65,0.34946236559139787,0.5784809301422806,0.22901856455088276
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2012,196,28,0.14285714285714285,0.6603584913159034,0.5175013484587605
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2013,230,185,0.8043478260869565,0.827724687300595,0.023376861213638467
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2014,188,73,0.3882978723404255,0.5368727892685234,0.14857491692809793
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2015,163,53,0.32515337423312884,0.4094772353191215,0.08432386108599266
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2016,168,71,0.4226190476190476,0.5515239102564923,0.12890486263744466
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2017,175,36,0.2057142857142857,0.2600597929431387,0.05434550722885298
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2018,181,156,0.861878453038674,0.9016891495361199,0.03981069649744584
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2019,123,21,0.17073170731707318,0.2697086477228323,0.09897694040575913
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2020,156,56,0.358974358974359,0.3660417847921923,0.007067425817833317
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2021,161,46,0.2857142857142857,0.5418013540800987,0.25608706836581296
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2022,160,126,0.7875,0.7433544762406792,-0.04414552375932079
upwelling_supported_domain,hierarchical_additive,trajectory_plus_oisst,2023,111,10,0.09009009009009009,0.2923522339178637,0.2022621438277736
