scope,model_family,feature_set,year,n,events,prevalence,ap_lift
giraldo_matched,random_forest,current_only,2011,40,12,0.3,0.22706830206830203
giraldo_matched,random_forest,current_only,2012,32,2,0.0625,0.5208333333333333
giraldo_matched,random_forest,current_only,2013,17,16,0.9411764705882353,0.05514705882352944
giraldo_matched,random_forest,current_only,2014,19,10,0.5263157894736842,0.20594948910738375
giraldo_matched,random_forest,current_only,2015,13,2,0.15384615384615385,0.5961538461538461
giraldo_matched,random_forest,current_only,2016,16,6,0.375,0.04764911014911011
giraldo_matched,random_forest,current_only,2017,18,4,0.2222222222222222,0.28102453102453107
giraldo_matched,random_forest,current_only,2018,20,18,0.9,0.06604468635557381
giraldo_matched,random_forest,current_only,2019,21,6,0.2857142857142857,-0.0220833947614133
giraldo_matched,random_forest,current_only,2020,26,8,0.3076923076923077,0.23147047698678136
giraldo_matched,random_forest,current_only,2021,7,0,0.0,
giraldo_matched,random_forest,current_plus_trajectory,2005,24,11,0.4583333333333333,0.13187845716449836
giraldo_matched,random_forest,current_plus_trajectory,2006,23,3,0.13043478260869565,0.7862318840579708
giraldo_matched,random_forest,current_plus_trajectory,2007,39,10,0.2564102564102564,0.1969032467249785
giraldo_matched,random_forest,current_plus_trajectory,2008,42,12,0.2857142857142857,0.26981803231803236
giraldo_matched,random_forest,current_plus_trajectory,2009,31,9,0.2903225806451613,0.35608225720704495
giraldo_matched,random_forest,current_plus_trajectory,2010,36,22,0.6111111111111112,0.1263241083779072
giraldo_matched,random_forest,current_plus_trajectory,2011,40,12,0.3,0.27459172771672774
giraldo_matched,random_forest,current_plus_trajectory,2012,32,2,0.0625,0.9375
giraldo_matched,random_forest,current_plus_trajectory,2013,17,16,0.9411764705882353,0.05882352941176472
giraldo_matched,random_forest,current_plus_trajectory,2014,19,10,0.5263157894736842,-0.09772910654876599
giraldo_matched,random_forest,current_plus_trajectory,2015,13,2,0.15384615384615385,0.8461538461538461
giraldo_matched,random_forest,current_plus_trajectory,2016,16,6,0.375,0.03855820105820107
giraldo_matched,random_forest,current_plus_trajectory,2017,18,4,0.2222222222222222,0.08345959595959596
giraldo_matched,random_forest,current_plus_trajectory,2018,20,18,0.9,0.05607187169364691
giraldo_matched,random_forest,current_plus_trajectory,2019,21,6,0.2857142857142857,0.3614718614718615
giraldo_matched,random_forest,current_plus_trajectory,2020,26,8,0.3076923076923077,0.16980873658505236
giraldo_matched,random_forest,current_plus_trajectory,2021,7,0,0.0,
giraldo_matched,random_forest,trajectory_plus_oisst,2005,24,11,0.4583333333333333,0.1338540200769303
giraldo_matched,random_forest,trajectory_plus_oisst,2006,23,3,0.13043478260869565,0.736231884057971
giraldo_matched,random_forest,trajectory_plus_oisst,2007,39,10,0.2564102564102564,0.25108179655593443
giraldo_matched,random_forest,trajectory_plus_oisst,2008,42,12,0.2857142857142857,0.310193863911123
giraldo_matched,random_forest,trajectory_plus_oisst,2009,31,9,0.2903225806451613,0.30464448932190863
giraldo_matched,random_forest,trajectory_plus_oisst,2010,36,22,0.6111111111111112,0.10261783763333643
giraldo_matched,random_forest,trajectory_plus_oisst,2011,40,12,0.3,0.30017942583732055
giraldo_matched,random_forest,trajectory_plus_oisst,2012,32,2,0.0625,0.9375
giraldo_matched,random_forest,trajectory_plus_oisst,2013,17,16,0.9411764705882353,0.05882352941176472
giraldo_matched,random_forest,trajectory_plus_oisst,2014,19,10,0.5263157894736842,-0.04540915225125752
giraldo_matched,random_forest,trajectory_plus_oisst,2015,13,2,0.15384615384615385,0.6794871794871794
giraldo_matched,random_forest,trajectory_plus_oisst,2016,16,6,0.375,-0.016971916971916967
giraldo_matched,random_forest,trajectory_plus_oisst,2017,18,4,0.2222222222222222,0.20478312537136067
giraldo_matched,random_forest,trajectory_plus_oisst,2018,20,18,0.9,0.03836365398542918
giraldo_matched,random_forest,trajectory_plus_oisst,2019,21,6,0.2857142857142857,0.20564892623716152
giraldo_matched,random_forest,trajectory_plus_oisst,2020,26,8,0.3076923076923077,0.22887959080393294
giraldo_matched,random_forest,trajectory_plus_oisst,2021,7,0,0.0,
giraldo_matched,xgboost,current_only,2005,24,11,0.4583333333333333,0.15249825931644106
giraldo_matched,xgboost,current_only,2006,23,3,0.13043478260869565,0.4876207729468599
giraldo_matched,xgboost,current_only,2007,39,10,0.2564102564102564,0.05473517074323525
giraldo_matched,xgboost,current_only,2008,42,12,0.2857142857142857,0.2532440326557974
giraldo_matched,xgboost,current_only,2009,31,9,0.2903225806451613,0.15553479369797013
giraldo_matched,xgboost,current_only,2010,36,22,0.6111111111111112,0.09949301628104901
giraldo_matched,xgboost,current_only,2011,40,12,0.3,0.19817511940673704
giraldo_matched,xgboost,current_only,2012,32,2,0.0625,0.5208333333333333
giraldo_matched,xgboost,current_only,2013,17,16,0.9411764705882353,0.0378021641348848
giraldo_matched,xgboost,current_only,2014,19,10,0.5263157894736842,0.2120426065162907
giraldo_matched,xgboost,current_only,2015,13,2,0.15384615384615385,0.6794871794871794
giraldo_matched,xgboost,current_only,2016,16,6,0.375,0.16742424242424236
giraldo_matched,xgboost,current_only,2017,18,4,0.2222222222222222,0.2611111111111111
giraldo_matched,xgboost,current_only,2018,20,18,0.9,0.06604468635557381
giraldo_matched,xgboost,current_only,2019,21,6,0.2857142857142857,-0.03428978428978424
giraldo_matched,xgboost,current_only,2020,26,8,0.3076923076923077,0.20324627063757494
giraldo_matched,xgboost,current_only,2021,7,0,0.0,
giraldo_matched,xgboost,current_plus_trajectory,2005,24,11,0.4583333333333333,0.17353555535373716
giraldo_matched,xgboost,current_plus_trajectory,2006,23,3,0.13043478260869565,0.6251207729468599
giraldo_matched,xgboost,current_plus_trajectory,2007,39,10,0.2564102564102564,0.18701049599269837
giraldo_matched,xgboost,current_plus_trajectory,2008,42,12,0.2857142857142857,0.27495810618069394
giraldo_matched,xgboost,current_plus_trajectory,2009,31,9,0.2903225806451613,0.24616979408250755
giraldo_matched,xgboost,current_plus_trajectory,2010,36,22,0.6111111111111112,0.1694947294174216
giraldo_matched,xgboost,current_plus_trajectory,2011,40,12,0.3,0.24287261176206415
giraldo_matched,xgboost,current_plus_trajectory,2012,32,2,0.0625,0.9375
giraldo_matched,xgboost,current_plus_trajectory,2013,17,16,0.9411764705882353,0.05882352941176472
giraldo_matched,xgboost,current_plus_trajectory,2014,19,10,0.5263157894736842,-0.08939577321543263
giraldo_matched,xgboost,current_plus_trajectory,2015,13,2,0.15384615384615385,0.8461538461538461
giraldo_matched,xgboost,current_plus_trajectory,2016,16,6,0.375,0.14554195804195802
giraldo_matched,xgboost,current_plus_trajectory,2017,18,4,0.2222222222222222,0.11636321195144728
giraldo_matched,xgboost,current_plus_trajectory,2018,20,18,0.9,0.047582213203988366
giraldo_matched,xgboost,current_plus_trajectory,2019,21,6,0.2857142857142857,0.16343101343101352
giraldo_matched,xgboost,current_plus_trajectory,2020,26,8,0.3076923076923077,0.18583152958152954
giraldo_matched,xgboost,current_plus_trajectory,2021,7,0,0.0,
giraldo_matched,xgboost,trajectory_plus_oisst,2005,24,11,0.4583333333333333,0.1388037686950731
giraldo_matched,xgboost,trajectory_plus_oisst,2006,23,3,0.13043478260869565,0.7862318840579708
giraldo_matched,xgboost,trajectory_plus_oisst,2007,39,10,0.2564102564102564,0.26546250776513935
giraldo_matched,xgboost,trajectory_plus_oisst,2008,42,12,0.2857142857142857,0.3186553903086162
giraldo_matched,xgboost,trajectory_plus_oisst,2009,31,9,0.2903225806451613,0.2662606509380702
giraldo_matched,xgboost,trajectory_plus_oisst,2010,36,22,0.6111111111111112,0.04912237647963413
giraldo_matched,xgboost,trajectory_plus_oisst,2011,40,12,0.3,0.3868102650416892
giraldo_matched,xgboost,trajectory_plus_oisst,2012,32,2,0.0625,0.9375
giraldo_matched,xgboost,trajectory_plus_oisst,2013,17,16,0.9411764705882353,0.05882352941176472
giraldo_matched,xgboost,trajectory_plus_oisst,2014,19,10,0.5263157894736842,0.01913630229419705
giraldo_matched,xgboost,trajectory_plus_oisst,2015,13,2,0.15384615384615385,0.8461538461538461
giraldo_matched,xgboost,trajectory_plus_oisst,2016,16,6,0.375,0.014593739593739552
giraldo_matched,xgboost,trajectory_plus_oisst,2017,18,4,0.2222222222222222,0.22410130718954246
giraldo_matched,xgboost,trajectory_plus_oisst,2018,20,18,0.9,0.017120236908678588
giraldo_matched,xgboost,trajectory_plus_oisst,2019,21,6,0.2857142857142857,0.05921855921855923
giraldo_matched,xgboost,trajectory_plus_oisst,2020,26,8,0.3076923076923077,0.21768731086165294
giraldo_matched,xgboost,trajectory_plus_oisst,2021,7,0,0.0,
