validation_scheme,heldout_band,target_definition,train_rows,test_rows,train_positive_count,test_positive_count,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,feature_family,model,decision_threshold,status,notes
three_band_holdout,band_3_north,actionable_drop,1188,612,338,132,0.685355,0.911364,0.363636,0.666667,0.470588,0.400000,84,24,48,456,relative_dynamic_plus_habitat_context,Random Forest,0.594170,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.276891,0.514374,0.631579,0.244898,0.352941,0.480000,56,296,96,164,canopy_absolute_baseline,Logistic Regression,0.461783,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.297486,0.513186,0.486842,0.253425,0.333333,0.411111,78,218,74,242,canopy_absolute_baseline,Random Forest,0.488017,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.333785,0.574986,0.750000,0.275362,0.402827,0.557730,38,300,114,160,canopy_relative,Logistic Regression,0.367264,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.322026,0.546939,0.335526,0.271277,0.300000,0.320352,101,137,51,323,canopy_relative,Random Forest,0.465310,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.358260,0.637157,0.500000,0.367150,0.423398,0.466258,76,131,76,329,thermal_absolute,Logistic Regression,0.420176,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.499900,0.703847,0.361842,0.482456,0.413534,0.380886,97,59,55,401,thermal_absolute,Random Forest,0.512885,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.319887,0.632094,0.888158,0.285412,0.432000,0.624422,17,338,135,122,thermal_relative,Logistic Regression,0.407022,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.427079,0.649421,0.618421,0.370079,0.463054,0.545244,58,160,94,300,thermal_relative,Random Forest,0.511238,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,original_decline,1188,612,506,152,0.303624,0.581908,0.789474,0.275862,0.408859,0.575264,32,315,120,145,trajectory_absolute,Logistic Regression,0.311141,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
