pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,target_definition,feature_family,model,n_train,n_validation,n_test,positive_events_test,event_prevalence_test,decision_threshold,status
0.186635,0.566265,0.617647,0.218750,0.323077,0.452586,13,75,21,91,actionable_drop,crw_plus_wave,Random Forest,1400,200,200,34,0.170000,0.322493,computed
0.282614,0.685152,0.911765,0.236641,0.375758,0.580524,3,100,31,66,actionable_drop,crw_plus_wave,XGBoost,1400,200,200,34,0.170000,0.115217,computed
0.230128,0.614635,0.764706,0.204724,0.322981,0.494297,8,101,26,65,actionable_drop,crw_plus_wave,LightGBM,1400,200,200,34,0.170000,0.051719,computed
0.246110,0.687810,0.264706,0.230769,0.246575,0.257143,25,30,9,136,actionable_drop,habitat_plus_wave,Logistic Regression,1400,200,200,34,0.170000,0.585065,computed
0.382612,0.697378,0.794118,0.221311,0.346154,0.523256,7,95,27,71,actionable_drop,habitat_plus_wave,Random Forest,1400,200,200,34,0.170000,0.288266,computed
0.365065,0.736003,0.941176,0.238806,0.380952,0.592593,2,102,32,64,actionable_drop,habitat_plus_wave,XGBoost,1400,200,200,34,0.170000,0.113243,computed
0.362954,0.706768,0.647059,0.289474,0.400000,0.518868,12,54,22,112,actionable_drop,habitat_plus_wave,LightGBM,1400,200,200,34,0.170000,0.195576,computed
0.466269,0.856662,0.588235,0.487805,0.533333,0.564972,14,21,20,145,actionable_drop,trajectory_plus_wave,Logistic Regression,1400,200,200,34,0.170000,0.481716,computed
0.497719,0.871368,0.764706,0.472727,0.584270,0.680628,8,29,26,137,actionable_drop,trajectory_plus_wave,Random Forest,1400,200,200,34,0.170000,0.359427,computed
0.483257,0.861269,0.676471,0.500000,0.575000,0.631868,11,23,23,143,actionable_drop,trajectory_plus_wave,XGBoost,1400,200,200,34,0.170000,0.285363,computed
0.425531,0.840716,0.558824,0.380000,0.452381,0.510753,15,31,19,135,actionable_drop,trajectory_plus_wave,LightGBM,1400,200,200,34,0.170000,0.305373,computed
