site_id,latitude,longitude,region_group,field_years,support_m,overlap_cluster,pre2005_footprint_pixels,positive_reference_years,stable_support
PICO_CREEK_UC UCSC,35.61252,-121.1557,Central California,2,1000,s1000_c047,809,20,True
PINNACLES_IN UCSC,36.55948,-121.9661,Central California,4,1000,s1000_c036,1126,17,True
PINNACLES_OUT UCSC,36.55794,-121.9677,Central California,4,1000,s1000_c036,913,17,True
PINOS UCSC,36.64045,-121.9287,Central California,13,1000,s1000_c005,696,18,True
POINT_DUME UCSB,33.99884,-118.8066,Southern California,4,1000,s1000_c035,25,12,True
POINT_FERMIN VRG,33.70732,-118.3002,Southern California,3,1000,s1000_c048,739,21,True
POINT_LOMA_CEN VRG,32.7121,-117.263,Southern California,4,1000,s1000_c049,1684,17,True
POINT_LOMA_S VRG,32.67412,-117.26,Southern California,1,1000,s1000_c050,2549,16,True
POINT_VICENTE_W VRG,33.73974,-118.4137,Southern California,15,1000,s1000_c001,295,20,True
PT_JOE UCSC,36.60509,-121.9715,Central California,3,1000,s1000_c007,638,17,True
PURISIMA_N UCSC,34.7295,-120.6317,Central California,1,1000,s1000_c051,235,13,True
PURISIMA_S UCSC,34.72695,-120.6271,Central California,1,1000,s1000_c051,221,13,True
Pebble Beach,38.69121,-123.442,Northern California,6,1000,s1000_c052,284,17,True
Point Arena Lighthouse,38.9512,-123.744,Northern California,4,1000,s1000_c041,254,14,True
Point Arena MPA (M2),38.9448,-123.741,Northern California,7,1000,s1000_c041,493,15,True
Point Arena Ref,38.908,-123.719,Northern California,8,1000,s1000_c053,880,17,True
Portuguese Beach,39.30323,-123.803,Northern California,12,1000,s1000_c040,423,18,True
RADAR UCSC,35.51222,-121.0734,Central California,2,1000,s1000_c054,1120,19,True
RESORT_POINT VRG,33.76648,-118.4275,Southern California,2,1000,s1000_c001,685,20,True
RIDGES_N VRG,33.78848,-118.4232,Southern California,13,1000,s1000_c001,994,19,True
RIDGES_S VRG,33.78575,-118.4258,Southern California,2,1000,s1000_c001,1091,19,True
