outcome,axis,left_out_overlap_cluster,reference_estimate_per_sd,estimate_per_sd,absolute_change,same_direction_as_reference,n,remaining_overlap_clusters,years
mur_brier_gain,grazing_log1p,s300_c132,-0.005297162135512373,-0.005284712087728996,1.2450047783376869e-05,True,727,119,14
mur_brier_gain,grazing_log1p,s300_c134,-0.005297162135512373,-0.005082484092265944,0.00021467804324642927,True,728,119,14
mur_brier_gain,grazing_log1p,s300_c135,-0.005297162135512373,-0.0056799981588992665,0.00038283602338689323,True,729,119,14
mur_brier_gain,grazing_log1p,s300_c137,-0.005297162135512373,-0.005337289294708624,4.0127159196250844e-05,True,727,119,14
mur_brier_gain,grazing_log1p,s300_c138,-0.005297162135512373,-0.005273782025824601,2.3380109687772682e-05,True,725,119,14
mur_brier_gain,grazing_log1p,s300_c139,-0.005297162135512373,-0.004187956391241027,0.0011092057442713462,True,713,119,14
mur_brier_gain,grazing_log1p,s300_c140,-0.005297162135512373,-0.005292783987368719,4.378148143654656e-06,True,732,119,14
mur_brier_gain,grazing_log1p,s300_c141,-0.005297162135512373,-0.00521345538763218,8.37067478801929e-05,True,732,119,14
mur_brier_gain,rock_probability,s300_c000,-0.009641288145274263,-0.009590159610282199,5.112853499206378e-05,True,751,119,14
mur_brier_gain,rock_probability,s300_c001,-0.009641288145274263,-0.009600662456171435,4.0625689102827614e-05,True,741,119,14
mur_brier_gain,rock_probability,s300_c002,-0.009641288145274263,-0.009445506181220743,0.00019578196405352008,True,741,119,14
mur_brier_gain,rock_probability,s300_c003,-0.009641288145274263,-0.009725342661649079,8.405451637481624e-05,True,740,119,14
mur_brier_gain,rock_probability,s300_c004,-0.009641288145274263,-0.00969936473019183,5.807658491756816e-05,True,746,119,14
mur_brier_gain,rock_probability,s300_c006,-0.009641288145274263,-0.009785996398431036,0.00014470825315677366,True,746,119,14
mur_brier_gain,rock_probability,s300_c007,-0.009641288145274263,-0.009822785832089318,0.00018149768681505543,True,751,119,14
mur_brier_gain,rock_probability,s300_c008,-0.009641288145274263,-0.009611049934392511,3.0238210881751437e-05,True,743,119,14
