year,split,current_reference_state,next_reference_state,count,row_total,transition_probability,overall_share
2012,train,low_below_p25,high_above_p75,3,12,0.250000,0.060000
2012,train,low_below_p25,lower_mid_p25_p50,3,12,0.250000,0.060000
2012,train,low_below_p25,upper_mid_p50_p75,6,12,0.500000,0.120000
2012,train,lower_mid_p25_p50,high_above_p75,8,13,0.615385,0.160000
2012,train,lower_mid_p25_p50,upper_mid_p50_p75,5,13,0.384615,0.100000
2012,train,upper_mid_p50_p75,high_above_p75,4,7,0.571429,0.080000
2012,train,upper_mid_p50_p75,lower_mid_p25_p50,2,7,0.285714,0.040000
2012,train,upper_mid_p50_p75,upper_mid_p50_p75,1,7,0.142857,0.020000
2013,train,high_above_p75,high_above_p75,1,25,0.040000,0.020000
2013,train,high_above_p75,low_below_p25,15,25,0.600000,0.300000
2013,train,high_above_p75,lower_mid_p25_p50,5,25,0.200000,0.100000
2013,train,high_above_p75,upper_mid_p50_p75,4,25,0.160000,0.080000
