evaluation_context,target,oisst_matching_variant,feature_set,model_family,model_variant,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,false_positives,false_negatives,true_positives,true_negatives
actionable_low_next,actionable_decline_low_next,nearest,environment_only,Random Forest,cost_sensitive,200,45,0.225,0.0,0.0,0.0,0.0,0.23163296247193277,0.41555555555555557,0,45,0,155
actionable_low_next,actionable_decline_low_next,nearest,environment_only,XGBoost,cost_sensitive,200,45,0.225,0.26666666666666666,0.08888888888888889,0.13333333333333333,0.10256410256410256,0.2375280865444894,0.4939784946236559,11,41,4,144
actionable_low_next,actionable_decline_low_next,nearest,environment_only,LightGBM,cost_sensitive,200,45,0.225,0.2857142857142857,0.044444444444444446,0.07692307692307693,0.053475935828877004,0.24607405762611534,0.5192114695340502,5,43,2,150
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_environment,Logistic Regression,cost_sensitive,200,45,0.225,0.2222222222222222,0.3111111111111111,0.25925925925925924,0.2880658436213992,0.31963523148225276,0.6100358422939068,49,31,14,106
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_environment,SVM,cost_sensitive,200,45,0.225,0.5,0.022222222222222223,0.0425531914893617,0.027472527472527472,0.37443073754278317,0.6569175627240145,1,44,1,154
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_environment,Random Forest,cost_sensitive,200,45,0.225,0.5714285714285714,0.08888888888888889,0.15384615384615385,0.10695187165775401,0.4377037358863318,0.7885304659498208,3,41,4,152
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_environment,XGBoost,cost_sensitive,200,45,0.225,0.36666666666666664,0.24444444444444444,0.29333333333333333,0.2619047619047619,0.4572337653327075,0.8210752688172044,19,34,11,136
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_environment,LightGBM,cost_sensitive,200,45,0.225,0.5,0.1111111111111111,0.18181818181818182,0.13157894736842105,0.46846045032446154,0.8282437275985663,5,40,5,150
actionable_low_next,actionable_decline_low_next,nearest,canopy_trajectory_only,Logistic Regression,cost_sensitive,200,45,0.225,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5000873765531539,0.7915412186379929,24,24,21,131
actionable_low_next,actionable_decline_low_next,nearest,canopy_trajectory_only,SVM,cost_sensitive,200,45,0.225,0.0,0.0,0.0,0.0,0.3847185274427695,0.7882437275985663,0,45,0,155
actionable_low_next,actionable_decline_low_next,nearest,canopy_trajectory_only,Random Forest,cost_sensitive,200,45,0.225,0.25,0.06666666666666667,0.10526315789473684,0.078125,0.41729917868377875,0.8177777777777777,9,42,3,146
actionable_low_next,actionable_decline_low_next,nearest,canopy_trajectory_only,XGBoost,cost_sensitive,200,45,0.225,0.45098039215686275,0.5111111111111111,0.4791666666666667,0.49783549783549785,0.42817284371103387,0.8157706093189965,28,22,23,127
actionable_low_next,actionable_decline_low_next,nearest,canopy_trajectory_only,LightGBM,cost_sensitive,200,45,0.225,0.4166666666666667,0.3333333333333333,0.37037037037037035,0.3472222222222222,0.4556113584199252,0.8151254480286738,21,30,15,134
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory,Logistic Regression,cost_sensitive,200,45,0.225,0.5128205128205128,0.4444444444444444,0.47619047619047616,0.45662100456621,0.5011667050901955,0.8063082437275986,19,25,20,136
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory,SVM,cost_sensitive,200,45,0.225,0.0,0.0,0.0,0.0,0.40479370521435126,0.807741935483871,0,45,0,155
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory,Random Forest,cost_sensitive,200,45,0.225,0.5,0.13333333333333333,0.21052631578947367,0.15625,0.4965316043525603,0.8562007168458781,6,39,6,149
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory,XGBoost,cost_sensitive,200,45,0.225,0.4444444444444444,0.5333333333333333,0.48484848484848486,0.5128205128205128,0.4268057563324753,0.8159856630824373,30,21,24,125
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory,LightGBM,cost_sensitive,200,45,0.225,0.5625,0.4,0.4675324675324675,0.42452830188679247,0.5612577225660752,0.8649462365591398,14,27,18,141
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory_plus_environment,Logistic Regression,cost_sensitive,200,45,0.225,0.2571428571428571,0.4,0.3130434782608696,0.36,0.32561465303937187,0.6233691756272401,52,27,18,103
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory_plus_environment,SVM,cost_sensitive,200,45,0.225,0.0,0.0,0.0,0.0,0.3546260467186162,0.6481720430107527,0,45,0,155
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory_plus_environment,Random Forest,cost_sensitive,200,45,0.225,0.0,0.0,0.0,0.0,0.3938444006431653,0.7807885304659498,0,45,0,155
actionable_low_next,actionable_decline_low_next,nearest,canopy_current_plus_trajectory_plus_environment,XGBoost,cost_sensitive,200,45,0.225,0.3235294117647059,0.24444444444444444,0.27848101265822783,0.2570093457943925,0.423979049335472,0.7924014336917562,23,34,11,132
